hour,Day_of_Week,Main_Street,Nearest_Street,At_Intersection,Light_Conditions,Weather_Condition,Roadway_Surface_Condition,Traffic_Control_Device,Intersection_Type,Type_of_Collision,Number_of_Vehicles_Involved,School_Zone,Work_Zone_Related,Zone_ID,road_key,ADT,AAWDT,match_type
14,SAT,6600 ATLANTIC AV,67TH ST,Yes,DAYLIGHT,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,FOUR APPROACHES,REAR END,2,NO,NO,na,6600 ATLANTIC AV,2400.0,2600.0,median_fill
18,FRI,2000 SANDBRIDGE ROAD,2100 PRINCESS ANNE ROAD,Yes,DARKNESS-ROAD LIGHTED,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,FOUR APPROACHES,ANGLE,2,NO,NO,na,2000 SANDBRIDGE ROAD,13000.0,14000.0,fuzzy
10,SAT,600 LYNNHAVEN PW,2800 GUARDIAN LA,Yes,DAYLIGHT,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,FOUR APPROACHES,ANGLE,2,NO,NO,na,600 LYNNHAVEN PW,46000.0,50000.0,fuzzy
12,MON,2500 PRINCESS ANNE RD,NORTH LANDING RD,Yes,DAYLIGHT,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,FOUR APPROACHES,REAR END,2,NO,NO,na,2500 PRINCESS ANNE RD,20000.0,22000.0,fuzzy
0,SAT,300 BLOCK N.BIRDNECK ROAD,1000 BLOCK VIRGINIA BEACH BOULEVARD,Yes,DARKNESS-ROAD LIGHTED,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,FOUR APPROACHES,ANGLE,2,NO,NO,na,300 BLOCK N.BIRDNECK ROAD,3900.0,4200.0,fuzzy
18,TUE,2400 ATLANTIC AV,24 TH ST, Feet From,DARKNESS-ROAD LIGHTED,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING AND OBSCURED,NOT AT INTERSECTION,REAR END,2,NO,NO,227,2400 ATLANTIC AV,2400.0,2600.0,median_fill
20,SUN,6000 INDIAN RIVER RD,900 LEVEL GREEN BLVD,Yes,DARKNESS-ROAD LIGHTED,RAIN,WET,YES-WORKING,THREE APPROACHES,REAR END,2,NO,NO,na,6000 INDIAN RIVER RD,71000.0,78000.0,fuzzy
16,WED,2100 CENTERVILLE TRNP,2100 AMBERBROOKE WAY,Yes,DAYLIGHT,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,FOUR APPROACHES,REAR END,3,NO,NO,na,2100 CENTERVILLE TRNP,19000.0,21000.0,fuzzy
19,MON,2300 ROUND HILL DR,BELLSPRING,Yes,DARKNESS-ROAD LIGHTED,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,FOUR APPROACHES,ANGLE,2,NO,NO,na,2300 ROUND HILL DR,20000.0,21000.0,fuzzy
18,SUN,4900 INDIAN RIVER RD,APRIL CT,Yes,DARKNESS-ROAD NOT LIGHTED,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,TWO APPROACHES,ANGLE,2,NO,NO,na,4900 INDIAN RIVER RD,71000.0,78000.0,fuzzy
21,SAT,3365 NORTH LANDING RD, ,Yes,DARKNESS-ROAD LIGHTED,FOG,DRY,YES-WORKING,NOT AT INTERSECTION,ANGLE,2,NO,NO,121,3365 NORTH LANDING RD,39000.0,42000.0,fuzzy
5,TUE,5300 LYNNHAVEN PW,5400 ALBRIGHT DR,Yes,DARKNESS-ROAD LIGHTED,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,FOUR APPROACHES,ANGLE,2,NO,NO,na,5300 LYNNHAVEN PW,46000.0,50000.0,fuzzy
3,FRI,4667 INDIAN RIVER RD,INDEPENDENCE BL S,  200 Feet From,DARKNESS-ROAD NOT LIGHTED,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,NOT AT INTERSECTION,OTHER,1,NO,NO,na,4667 INDIAN RIVER RD,71000.0,78000.0,fuzzy
15,SAT,4500 WISHART RD,INDEPENDENCE BLVD,  495 Feet From,DAYLIGHT,RAIN,WET,YES-WORKING,NOT AT INTERSECTION,ANGLE,2,NO,NO,328,4500 WISHART RD,1200.0,1300.0,fuzzy
15,SAT,100 LYNNHAVEN PW,EUREKA AV,Yes,DAYLIGHT,RAIN,WET,YES-WORKING,FOUR APPROACHES,REAR END,2,NO,NO,320,100 LYNNHAVEN PW,46000.0,50000.0,fuzzy
18,FRI,400 INDEPENDENCE,JEANE ST,  300 Feet From,DARKNESS-ROAD LIGHTED,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,NOT AT INTERSECTION,REAR END,3,NO,NO,na,400 INDEPENDENCE,73000.0,77000.0,fuzzy
21,MON,3300 VIRGINIA BEACH,LITTLE NECK,Yes,DARKNESS-ROAD LIGHTED,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,FOUR APPROACHES,REAR END,2,NO,NO,na,3300 VIRGINIA BEACH,2400.0,2600.0,median_fill
17,FRI,400 LYNNHAVEN PKWY,100 S LYNNHAVEN RD,Yes,DARKNESS-ROAD LIGHTED,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,FOUR APPROACHES,ANGLE,2,NO,NO,na,400 LYNNHAVEN PKWY,46000.0,50000.0,fuzzy
18,FRI,BAXTER ROAD,KENLEY ROAD,Yes,DARKNESS-ROAD LIGHTED,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,THREE APPROACHES,ANGLE,3,NO,NO,na,BAXTER ROAD,19000.0,20000.0,exact
13,SAT,VIRGINIA BEACH BLVD,MAXEY DRIVE,Yes,DAYLIGHT,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,THREE APPROACHES,ANGLE,2,NO,NO,na,VIRGINIA BEACH BLVD,30000.0,34000.0,fuzzy
17,FRI,3380 INDIAN CREEK RD,6000 BLACKWATER RD, 2.00 Miles From,DARKNESS-ROAD NOT LIGHTED,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,NOT AT INTERSECTION,FIXED OBJECT-OFF ROAD,1,NO,NO,na,3380 INDIAN CREEK RD,450.0,480.0,fuzzy
17,THU,200 BLOCK S. PLAZA TRAIL,CONTINENTAL ST,Yes,DARKNESS-ROAD LIGHTED,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,FOUR APPROACHES,SIDESWIPE-SAME DIRECTION,2,NO,NO,na,200 BLOCK S. PLAZA TRAIL,28000.0,48000.0,fuzzy
15,SAT,2077 TOWNFIELD LANE,2400 KERR DRIVE,  100 Feet From,DUSK,RAIN,WET,NO TRAFFIC CONTROL DEVICE PRESENT,NOT AT INTERSECTION,FIXED OBJECT-OFF ROAD,1,NO,NO,na,2077 TOWNFIELD LANE,1900.0,2000.0,fuzzy
15,THU,3600 DAM NECK RD,3400 LANDSTOWN CT,   40 Feet From,DAYLIGHT,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,NOT AT INTERSECTION,REAR END,2,NO,NO,na,3600 DAM NECK RD,36000.0,38000.0,fuzzy
17,FRI,800 INDEPENDENCE BL,HONEYGROVE RD,Yes,DARKNESS-ROAD LIGHTED,RAIN,WET,YES-WORKING,FOUR APPROACHES,ANGLE,2,NO,NO,328,800 INDEPENDENCE BL,73000.0,77000.0,fuzzy
10,WED,4400 FIRST COURT RD,GREENWELL RD,Yes,DAYLIGHT,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,FOUR APPROACHES,ANGLE,2,NO,NO,329,4400 FIRST COURT RD,8400.0,9000.0,fuzzy
8,MON,1245 MILLER STORE RD,BURTON STATION RD,  500 Feet From,DAYLIGHT,NO ADVERSE CONDITION (CLEAR/CLOUDY),WET,NO TRAFFIC CONTROL DEVICE PRESENT,NOT AT INTERSECTION,REAR END,2,NO,NO,331,1245 MILLER STORE RD,39000.0,42000.0,fuzzy
17,TUE,PRINCESS ANNE RD,SANDBRIDGE RD,  200 Feet From,DARKNESS-ROAD LIGHTED,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,NOT AT INTERSECTION,ANGLE,2,NO,NO,na,PRINCESS ANNE RD,20000.0,22000.0,exact
13,SUN,4500 VIRGINIA BEACH BL,CONSTITUTION DR,00.25 Miles From,DAYLIGHT,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,FOUR APPROACHES,REAR END,3,NO,NO,321,4500 VIRGINIA BEACH BL,30000.0,34000.0,fuzzy
18,FRI,3261 DAM NECK RD,3100 HOLLAND RD,  .10 Miles From,DARKNESS-ROAD LIGHTED,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,NOT AT INTERSECTION,REAR END,2,NO,NO,na,3261 DAM NECK RD,36000.0,38000.0,fuzzy
17,TUE,PRINCESS ANNE RD,SANDBRIDGE RD,  200 Feet From,DARKNESS-ROAD LIGHTED,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,NOT AT INTERSECTION,ANGLE,2,NO,NO,na,PRINCESS ANNE RD,20000.0,22000.0,exact
16,THU,948 PRINCESS ANNE ROAD,SOUTH STOWE ROAD,00.25 Miles From,DAYLIGHT,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,NOT AT INTERSECTION,HEAD ON,3,NO,NO,na,948 PRINCESS ANNE ROAD,20000.0,22000.0,fuzzy
16,SUN,2100 SALEM RD,DAM NECK RD,  300 Feet From,DAYLIGHT,RAIN,WET,NO TRAFFIC CONTROL DEVICE PRESENT,NOT AT INTERSECTION,FIXED OBJECT-OFF ROAD,1,NO,NO,na,2100 SALEM RD,15000.0,16000.0,fuzzy
16,SUN,5000 VIRGINIA BEACH BLVD,DORSET AV,,DARKNESS-ROAD LIGHTED,RAIN,WET,YES-WORKING,FOUR APPROACHES,SIDESWIPE-SAME DIRECTION,2,NO,NO,na,5000 VIRGINIA BEACH BLVD,30000.0,34000.0,fuzzy
1,MON,608 TYSON RD,HINSDALE ST,   85 Feet From,DARKNESS-ROAD LIGHTED,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,NO TRAFFIC CONTROL DEVICE PRESENT,NOT AT INTERSECTION,SIDESWIPE-OPPOSITE DIRECTION,2,NO,NO,323,608 TYSON RD,22000.0,23000.0,fuzzy
6,TUE,1600 NIMMO PW, ,Yes,DAWN,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,NOT AT INTERSECTION,DEER,1,NO,NO,124,1600 NIMMO PW,2400.0,2600.0,median_fill
10,SUN,4000 PRINCESS ANNE RD,LYNNHAVEN PW,  .17 Miles From,DAYLIGHT,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,NO TRAFFIC CONTROL DEVICE PRESENT,NOT AT INTERSECTION,ANGLE,2,NO,NO,424,4000 PRINCESS ANNE RD,20000.0,22000.0,fuzzy
7,WED,200 WITCHDUCK RD S,200 GRAYSON RD,Yes,DAYLIGHT,RAIN,WET,YES-WORKING,FOUR APPROACHES,REAR END,2,NO,NO,na,200 WITCHDUCK RD S,5100.0,5600.0,fuzzy
8,WED,300 INDEPENDENCE BLVD S,4700 BAXTER RD,   25 Feet From,DAYLIGHT,RAIN,WET,YES-WORKING,FOUR APPROACHES,REAR END,2,NO,NO,na,300 INDEPENDENCE BLVD S,73000.0,77000.0,fuzzy
9,WED,5600 INDIAN RIVER RD,CENTERVILLE TRPK,  .40 Miles From,DAYLIGHT,RAIN,WET,YES-WORKING,NOT AT INTERSECTION,REAR END,2,NO,NO,na,5600 INDIAN RIVER RD,71000.0,78000.0,fuzzy
12,MON,3500 HOLLAND RD,700 NORTHWOOD DR,Yes,DAYLIGHT,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,FOUR APPROACHES,ANGLE,2,NO,NO,na,3500 HOLLAND RD,36000.0,38000.0,fuzzy
13,TUE,1300 LEVEL GREEN BLVD,6200 DREW DR,Yes,DAYLIGHT,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,NO TRAFFIC CONTROL DEVICE PRESENT,THREE APPROACHES,PEDESTRIAN,1,NO,NO,na,1300 LEVEL GREEN BLVD,1900.0,2100.0,fuzzy
6,FRI,2300 LYNNHAVEN PW,SUNDEVIL DR,Yes,DAWN,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,NO TRAFFIC CONTROL DEVICE PRESENT,TWO APPROACHES,REAR END,3,YES-WITH SCHOOL ACTIVITY,NO,na,2300 LYNNHAVEN PW,46000.0,50000.0,fuzzy
7,SUN,6417 DREW DR,1300 DEPAUL WAY,  200 Feet From,DAWN,RAIN,WET,NO TRAFFIC CONTROL DEVICE PRESENT,NOT AT INTERSECTION,ANGLE,3,NO,NO,na,6417 DREW DR,2200.0,2400.0,fuzzy
1,MON,400 INDEPENDENCE BLVD S,EDWIN DR,  100 Feet From,DARKNESS-ROAD LIGHTED,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,NOT AT INTERSECTION,REAR END,2,NO,NO,na,400 INDEPENDENCE BLVD S,73000.0,77000.0,fuzzy
9,SUN,3300 SHORE DR,3200 PAGE AV,Yes,DAYLIGHT,NO ADVERSE CONDITION (CLEAR/CLOUDY),WET,YES-WORKING,FOUR APPROACHES,ANGLE,2,NO,NO,na,3300 SHORE DR,5000.0,5400.0,fuzzy
8,WED,VIRGINIA BEACH BLVD,LASKIN RD,  200 Feet From,DAYLIGHT,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,NOT AT INTERSECTION,SIDESWIPE-SAME DIRECTION,2,NO,YES,na,VIRGINIA BEACH BLVD,30000.0,34000.0,fuzzy
11,THU,500 LYNNAHVEN PW,2500 POTTERS RD,  500 Feet From,DAYLIGHT,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,NOT AT INTERSECTION,REAR END,3,NO,NO,na,500 LYNNAHVEN PW,43000.0,47000.0,fuzzy
8,WED,KINGS ARMS DR,OLE TOWNE LN,Yes,DAYLIGHT,RAIN,WET,YES-WORKING,FOUR APPROACHES,ANGLE,2,NO,NO,na,KINGS ARMS DR,1100.0,1100.0,exact
12,MON,FIRST COLONIAL RD,TOTTENHAM LA,Yes,DAYLIGHT,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,THREE APPROACHES,ANGLE,2,NO,NO,na,FIRST COLONIAL RD,36000.0,39000.0,exact
21,THU,SOUTH ROSEMONT ROAD,SOUTH PLAZA TRAIL,Yes,DARKNESS-ROAD LIGHTED,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,FOUR APPROACHES,ANGLE,2,NO,NO,na,SOUTH ROSEMONT ROAD,30000.0,32000.0,fuzzy
15,WED,1043 INDEPENDENCE BL,HONEYGROVE RD,  300 Feet From,DAYLIGHT,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,FOUR APPROACHES,ANGLE,2,NO,NO,328,1043 INDEPENDENCE BL,73000.0,77000.0,fuzzy
15,WED,S PLAZA TRL,BRENNEMAN TRL,Yes,DAYLIGHT,NO ADVERSE CONDITION (CLEAR/CLOUDY),WET,YES-WORKING,FOUR APPROACHES,NON-COLLISION,1,NO,NO,427,S PLAZA TRL,11000.0,12000.0,exact
17,THU,4600 VIRGINIA BEACH BL,INDEPENDENCE BL,Yes,DARKNESS-ROAD LIGHTED,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,FOUR APPROACHES,,2,NO,NO,321,4600 VIRGINIA BEACH BL,30000.0,34000.0,fuzzy
14,THU,4500 VIRGINIA BEACH BL,200 CONSTITUTION DR,Yes,DAYLIGHT,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,FOUR APPROACHES,ANGLE,2,NO,NO,321,4500 VIRGINIA BEACH BL,30000.0,34000.0,fuzzy
18,FRI,HOLLAND RD,S PLAZA TRL,Yes,DARKNESS-ROAD LIGHTED,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,FOUR APPROACHES,REAR END,2,NO,NO,428,HOLLAND RD,36000.0,38000.0,exact
22,THU,2000 LANDSTOWN CENTRE WAY,LANDSTOWN RD,  331 Feet From,DARKNESS-ROAD LIGHTED,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,NOT AT INTERSECTION,NON-COLLISION,2,NO,,na,2000 LANDSTOWN CENTRE WAY,2400.0,2600.0,median_fill
22,SAT,3500 DAM NECK RD,ROSEMONT RD,Yes,DARKNESS-ROAD LIGHTED,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,THREE APPROACHES,REAR END,2,NO,NO,na,3500 DAM NECK RD,36000.0,38000.0,fuzzy
17,TUE,3500 HILBER STREET,100 S ROSEMONT RD,Yes,DAYLIGHT,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,NO TRAFFIC CONTROL DEVICE PRESENT,THREE APPROACHES,ANGLE,2,NO,NO,na,3500 HILBER STREET,16000.0,26000.0,fuzzy
17,THU,3280 WINTERBERRY LANE,PRINCESS ANNE ROAD,00.13 Miles From,DARKNESS-ROAD LIGHTED,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,NO TRAFFIC CONTROL DEVICE PRESENT,NOT AT INTERSECTION,HEAD ON,2,NO,NO,na,3280 WINTERBERRY LANE,1900.0,2000.0,fuzzy
20,THU,PRINCESS ANNE ROAD,DAM NECK ROAD,Yes,DARKNESS-ROAD LIGHTED,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,FOUR APPROACHES,ANGLE,2,NO,NO,na,PRINCESS ANNE ROAD,20000.0,22000.0,exact
11,WED,3500 DAM NECK RD,1700 ROSEMONT RD S,Yes,DAYLIGHT,RAIN,WET,YES-WORKING,THREE APPROACHES,SIDESWIPE-SAME DIRECTION,2,NO,NO,na,3500 DAM NECK RD,36000.0,38000.0,fuzzy
7,WED,2952 KINGSFIELD DR,GEORGE STAR DR,Yes,DAYLIGHT,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,FOUR APPROACHES,ANGLE,2,NO,NO,121,2952 KINGSFIELD DR,20000.0,21000.0,fuzzy
13,THU,BAY COLONY DR,CEDAR POINT DR,Yes,DAYLIGHT,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,FOUR APPROACHES,ANGLE,2,NO,NO,na,BAY COLONY DR,5000.0,5400.0,fuzzy
19,FRI,2002 LASKIN RD,PHILLIP AVE,Yes,DARKNESS-ROAD LIGHTED,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,NO TRAFFIC CONTROL DEVICE PRESENT,FOUR APPROACHES,ANGLE,2,NO,NO,na,2002 LASKIN RD,3000.0,3200.0,fuzzy
11,TUE,700 CHIMNEY HILL PKWY,HOLLAND RD,  416 Feet From,DAYLIGHT,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,NO TRAFFIC CONTROL DEVICE PRESENT,NOT AT INTERSECTION,FIXED OBJECT-OFF ROAD,1,NO,NO,na,700 CHIMNEY HILL PKWY,5200.0,5500.0,fuzzy
23,SAT,4112 TATTERSHALL,900 WINDSOR OAKS BLVD,   50 Feet From,DARKNESS-ROAD NOT LIGHTED,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,NO TRAFFIC CONTROL DEVICE PRESENT,NOT AT INTERSECTION,SIDESWIPE-SAME DIRECTION,2,NO,NO,426,4112 TATTERSHALL,2400.0,2600.0,median_fill
20,THU,FIRST COLONIAL RD,WILDWOOD DR,Yes,DARKNESS-ROAD LIGHTED,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,FOUR APPROACHES,ANGLE,2,NO,NO,na,FIRST COLONIAL RD,36000.0,39000.0,exact
7,THU,3600 HOLLAND RD,800 ROSEMONT RD S,Yes,DAYLIGHT,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,FOUR APPROACHES,ANGLE,2,NO,NO,na,3600 HOLLAND RD,36000.0,38000.0,fuzzy
9,FRI,1064 LYNNHAVEN PW,3100 MAGIC HOLLOW BL,  150 Feet From,DAYLIGHT,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,NO TRAFFIC CONTROL DEVICE PRESENT,NOT AT INTERSECTION,REAR END,2,NO,NO,na,1064 LYNNHAVEN PW,46000.0,50000.0,fuzzy
14,WED,4700 BAXTER RD,4700 BONNEY RD,Yes,DAYLIGHT,RAIN,WET,YES-WORKING,FOUR APPROACHES,REAR END,2,NO,NO,na,4700 BAXTER RD,19000.0,20000.0,fuzzy
7,MON,6000 INDIAN RIVER RD,1500 LEVEL GREEN BL,Yes,DAYLIGHT,RAIN,WET,YES-WORKING,FOUR APPROACHES,REAR END,3,NO,NO,na,6000 INDIAN RIVER RD,71000.0,78000.0,fuzzy
8,MON,5100 INDIAN RIVER RD,1600 HAWKS BILL DR,Yes,DAYLIGHT,RAIN,WET,YES-WORKING,THREE APPROACHES,ANGLE,3,NO,NO,na,5100 INDIAN RIVER RD,71000.0,78000.0,fuzzy
11,MON,400 ROSEMONT RD S,3600 KINGDOM CT,Yes,DAYLIGHT,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,TWO APPROACHES,ANGLE,2,NO,NO,na,400 ROSEMONT RD S,30000.0,32000.0,fuzzy
10,TUE,2600 INDEPENDENCE BL S,900 BELSPRING DR,Yes,DAYLIGHT,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,THREE APPROACHES,REAR END,2,NO,NO,na,2600 INDEPENDENCE BL S,73000.0,77000.0,fuzzy
11,MON,300 INDEPENDENCE BL S,4600 SOUTH BL,Yes,DAYLIGHT,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,FOUR APPROACHES,REAR END,2,NO,NO,na,300 INDEPENDENCE BL S,73000.0,77000.0,fuzzy
9,MON,2100 INDEPENDENCE BL S,3900 PRINCESS ANNE RD,Yes,DAYLIGHT,RAIN,WET,YES-WORKING,FOUR APPROACHES,REAR END,2,NO,NO,na,2100 INDEPENDENCE BL S,73000.0,77000.0,fuzzy
11,WED,FIRST COLONIAL RD,WILDWOOD RD,Yes,DAYLIGHT,NO ADVERSE CONDITION (CLEAR/CLOUDY),"SAND, DIRT, GRAVEL",YES-WORKING,FOUR APPROACHES,SIDESWIPE-SAME DIRECTION,2,NO,NO,na,FIRST COLONIAL RD,36000.0,39000.0,exact
9,TUE,1535 LYNNHAVEN PW,WENDFIELD DR,   20 Feet From,DAYLIGHT,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,NOT AT INTERSECTION,ANGLE,2,NO,NO,na,1535 LYNNHAVEN PW,46000.0,50000.0,fuzzy
10,SUN,4000 ELBOW RD,2100 WALPOLE ST,00.03 Miles From,DAYLIGHT,RAIN,WET,YES-WORKING,NOT AT INTERSECTION,OTHER,1,NO,NO,na,4000 ELBOW RD,12000.0,12000.0,fuzzy
12,FRI,4700 BAXTER RD,INDEPENDENCE BL S,Yes,DAYLIGHT,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,FOUR APPROACHES,ANGLE,2,NO,NO,na,4700 BAXTER RD,19000.0,20000.0,fuzzy
7,THU,5300 PARLIAMENT DR,MAGISTRATE DR,Yes,DAYLIGHT,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,THREE APPROACHES,ANGLE,2,YES-WITH SCHOOL ACTIVITY,NO,na,5300 PARLIAMENT DR,3300.0,5700.0,fuzzy
7,MON,4900 PRINCESS ANNE RD,4800 BAXTER RD,Yes,DAYLIGHT,RAIN,WET,YES-WORKING,THREE APPROACHES,ANGLE,2,NO,NO,na,4900 PRINCESS ANNE RD,20000.0,22000.0,fuzzy
7,MON,900 CENTERVILLE TP,CENTERVILLE TP,  200 Feet From,DAYLIGHT,RAIN,WET,YES-WORKING,NOT AT INTERSECTION,REAR END,3,NO,NO,na,900 CENTERVILLE TP,19000.0,21000.0,fuzzy
8,FRI,HOLLAND RD,GOVERNORS WY,Yes,DAYLIGHT,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,FOUR APPROACHES,ANGLE,2,NO,NO,na,HOLLAND RD,36000.0,38000.0,exact
7,FRI,3900 HOLLAND RD,GOVENORS WY,  200 Feet From,DAYLIGHT,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,NOT AT INTERSECTION,REAR END,2,NO,NO,na,3900 HOLLAND RD,36000.0,38000.0,fuzzy
13,FRI,5400 INDIAN RIVER RD,FERRY POINT RD,Yes,DAYLIGHT,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,FOUR APPROACHES,ANGLE,2,NO,NO,na,5400 INDIAN RIVER RD,71000.0,78000.0,fuzzy
18,THU,1300 SALEM RD,4300 PRINCESS ANNE RD,  100 Feet From,DARKNESS-ROAD LIGHTED,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,NO TRAFFIC CONTROL DEVICE PRESENT,NOT AT INTERSECTION,FIXED OBJECT IN ROAD,1,NO,NO,na,1300 SALEM RD,15000.0,16000.0,fuzzy
17,FRI,1000 ROSEMONT RD S,STONESHORE RD,Yes,DARKNESS-ROAD LIGHTED,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,FOUR APPROACHES,HEAD ON,3,NO,NO,na,1000 ROSEMONT RD S,30000.0,32000.0,fuzzy
17,THU,3040 BOW CREEK BL,BUGESSES LA,00.50 Miles From,DARKNESS-ROAD LIGHTED,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,NO TRAFFIC CONTROL DEVICE PRESENT,NOT AT INTERSECTION,OTHER,3,NO,NO,na,3040 BOW CREEK BL,5500.0,5900.0,fuzzy
15,MON,300 N BIRDNECK RD,VIRGINIA BEACH BLVD,Yes,DAYLIGHT,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,FOUR APPROACHES,SIDESWIPE-OPPOSITE DIRECTION,2,NO,NO,na,300 N BIRDNECK RD,3900.0,4200.0,fuzzy
14,TUE,1100 VIRGINIA BEACH BL,300 BIRDNECK RD N,Yes,DAYLIGHT,RAIN,WET,YES-WORKING,FOUR APPROACHES,ANGLE,2,NO,NO,na,1100 VIRGINIA BEACH BL,30000.0,34000.0,fuzzy
8,WED,REAGAN AV,WAYMAN LA,Yes,DAYLIGHT,RAIN,WET,YES-WORKING,THREE APPROACHES,ANGLE,2,NO,NO,na,REAGAN AV,2000.0,2100.0,fuzzy
11,TUE,4000 SHORE DR,FIRST COURT RD,Yes,DAYLIGHT,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,FOUR APPROACHES,ANGLE,2,NO,NO,330,4000 SHORE DR,5000.0,5400.0,fuzzy
11,THU,5100 PRINCESS ANNE RD,500 KEMPSVILLE RD,Yes,DAYLIGHT,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,FOUR APPROACHES,REAR END,2,NO,NO,na,5100 PRINCESS ANNE RD,20000.0,22000.0,fuzzy
9,TUE,2700 INDEPENDENCE BL S,2100 ROUND HILL DR,Yes,DAYLIGHT,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,FOUR APPROACHES,ANGLE,3,NO,NO,na,2700 INDEPENDENCE BL S,73000.0,77000.0,fuzzy
